no	name	sub	wid_min	wid_max	hei_min	hei_max	rou_min	rou_max
1	ws1001	1001	100	105	15	20	0.01	0.01
2	ws1002	1002	100	105	15	20	0.01	0.01
3	ws1003	1003	100	105	15	20	0.01	0.01
4	ws1004	1004	120	125	15	20	0.01	0.01
5	ws1005	1005	120	125	15	20	0.01	0.01
6	ws1006	1006	120	125	15	20	0.01	0.01
7	ws1007	1007	121	126	15	20	0.01	0.01
8	ws1008	1008	122	126	15	20	0.01	0.01
9	ws1009	1009	122	126	15	20	0.01	0.01
10	ws1010	1010	122	126	15	20	0.01	0.01
11	ws1011	1011	122	126	15	20	0.01	0.01
12	ws1012	1012	122	126	15	20	0.01	0.01
13	ws1013	1013	122	126	15	20	0.01	0.01
14	ws1014	1014	122	126	15	20	0.01	0.01
15	ws1015	1015	122	126	15	20	0.01	0.01
16	ws2001	2001	122	126	15	20	0.01	0.01
17	ws2002	2002	122	126	15	20	0.01	0.01
18	ws2003	2003	122	126	15	20	0.01	0.01
19	ws2004	2004	122	126	15	20	0.01	0.01
20	ws2005	2005	122	126	15	20	0.01	0.01
21	ws3001	3001	122	126	15	20	0.01	0.01
22	ws3002	3002	122	126	15	20	0.01	0.01
23	ws3003	3003	122	126	15	20	0.01	0.01
24	ws3004	3004	122	126	15	20	0.01	0.01
25	ws3005	3005	122	126	15	20	0.01	0.01
26	ws3006	3006	122	126	15	20	0.01	0.01
27	ws3007	3007	122	126	15	20	0.01	0.01
28	ws3008	3008	122	126	15	20	0.01	0.01
